,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
17995,10477,M,20040728,기타,미혼,A04-00,A06-01
17996,11789,M,20040728,False,,A04-00,A06-00
17997,6058,M,20040729,기타,미혼,A04-00,A06-01
17998,8642,F,20040729,기타,미혼,A04-00,A06-01
17999,10613,M,20040729,False,,A04-00,A06-00
18000,10923,F,20040729,기타,미혼,A04-00,A06-01
18001,11323,M,20040729,기타,미혼,A04-00,A06-01
18002,8582,F,20040730,기타,미혼,A04-00,A06-01
18003,12826,M,20040730,False,,A04-00,A06-00
18004,14652,F,20040730,기타,미혼,A04-00,A06-01
18005,16561,M,20040731,기타,미혼,A04-00,A06-01
18006,16690,M,20040731,기타,미혼,A04-00,A06-01
18007,6114,F,20040801,기타,미혼,A04-00,A06-01
18008,6978,M,20040801,대학(원)생,미혼,A04-01,A06-01
18009,9244,M,20040802,기타,미혼,A04-00,A06-01
18010,10537,M,20040802,기타,미혼,A04-00,A06-01
18011,11498,F,20040802,기타,,A04-00,A06-00
18012,21248,M,20040802,False,,A04-00,A06-00
18013,23636,F,20040802,기타,미혼,A04-00,A06-01
18014,25795,M,20040802,기타,미혼,A04-00,A06-01
18015,27003,F,20040802,기타,미혼,A04-00,A06-01
18016,10145,M,20040803,기타,미혼,A04-00,A06-01
18017,6805,M,20040804,기타,미혼,A04-00,A06-01
18018,10242,M,20040804,False,,A04-00,A06-00
18019,10243,M,20040804,False,,A04-00,A06-00
18020,12590,M,20040804,기타,미혼,A04-00,A06-01
18021,14933,M,20040804,기타,미혼,A04-00,A06-01
18022,8519,F,20040805,기타,미혼,A04-00,A06-01
18023,9522,F,20040805,기타,미혼,A04-00,A06-01
18024,10512,F,20040805,"근로자,기타",미혼,A04-03,A06-01
18025,11949,M,20040805,기타,미혼,A04-00,A06-01
18026,15229,M,20040805,기타,미혼,A04-00,A06-01
18027,21725,F,20040805,기타,미혼,A04-00,A06-01
18028,27560,F,20040805,기타,미혼,A04-00,A06-01
18029,6016,F,20040806,기타,미혼,A04-00,A06-01
18030,6522,M,20040806,기타,미혼,A04-00,A06-01
18031,9576,M,20040806,기타,미혼,A04-00,A06-01
18032,9869,M,20040806,기타,,A04-00,A06-00
18033,13453,M,20040806,기타,,A04-00,A06-00
18034,26690,M,20040806,기타,미혼,A04-00,A06-01
